"Story","Title","Result","Date","Stability","Duration (s)"
"diligenciar formulario","diligenciar formulario Text Box","ERROR","2025-02-12T22:40:58.3456619-05:00[America/Bogota]","0.0","282.48"
"Google","Inicio de sesión con credenciales","PENDING","2025-01-14T13:49:49.3752487-05:00[America/Bogota]","0.0","0.08"
"Google","Realizar una busqueda en Google","PENDING","2025-02-12T10:57:59.3748471-05:00[America/Bogota]","0.0","0.35"
"Google","Realizar una búsqueda en Google","PENDING","2025-02-12T10:57:59.7376407-05:00[America/Bogota]","0.0","0.02"
"Google","Inicio de sesion con credenciales","PENDING","2025-02-12T10:57:59.7823548-05:00[America/Bogota]","0.0","0.09"
"Google","Login exitoso con credenciales válidas","PENDING","2025-02-12T10:57:59.9165117-05:00[America/Bogota]","0.0","0.02"
"Login","Realizar una búsqueda en Google.","PENDING","2025-01-13T18:30:42.2387137-05:00[America/Bogota]","0.0","0.24"
"Login","Login con credenciales correctas","ERROR","2025-01-13T18:30:42.5048316-05:00[America/Bogota]","0.0","0.14"
"Login","Login con credenciales incorrectas","ERROR","2025-01-13T18:30:42.6539535-05:00[America/Bogota]","0.0","0.03"
"Login","Inicio de sesion exitoso","PENDING","2025-02-12T16:47:49.9374031-05:00[America/Bogota]","0.0","212.29"
